1,2416.59,1316.56,2102.5,834.38
2,2241.66,2099.15,2195.64,1299.66
3,2248,1220,2668,1663
4,2448.37,1632.41,1491.43,1178.02
5,1718.99,1803.23,254.98,2170.99
6,1541.37,1924.82,1634.7,1726.13
7,1793.69,1050.98,1917.85,1943.42
8,1900.63,729.87,1085.98,2065.96
9,2025.13,1250.96,2249.96,1389.22
10,1649.4,1534.43,2607.17,1836.87
11,2361.86,1326.69,1969.85,1974.25
12,2550.68,1750.18,1611.35,1821.13
13,1421.8,2185.3,1682.92,1741.2
14,2196.9,1812.76,1887.98,1023.84
15,2089.74,1781.85,1281.96,908.54
16,1176.71,1530.99,2530.52,1669.99
17,1821.77,1245.93,1621.58,1518.55
18,2047.74,2752.33,2275.9,2119.66
19,2286.67,1515.09,1543.84,1376.67
20,1471.93,1326.18,1390.79,1803.76
21,1654.91,2434.93,1595.96,2313.34
23,2165.92,964.59,1415.76,2448.86
24,1652.81,1974.56,1662.88,2079.88
25,1807.87,1455.85,1023,1678.37
26,2715,1150,2128,1451
27,2239.98,1675.88,2149.73,1505.88
28,1995.98,1279.95,1777.92,2126
29,1219.58,1001.82,1747.73,1541.85
30,2031.23,2087.96,2231.83,1730.55
31,2692,1253,1648,1792
32,1608.35,1895.75,1420.4,2228.13
33,1633.75,1787.93,2065.75,1713.94
34,2578.67,1248.65,1398.48,1905.07
35,2799.94,1816.9,1644.09,1383
36,1622.87,1507.29,1818.62,1564.93
37,1802.79,1655.73,1869.4,1280.84
38,2565.8,1615.9,2614.9,2590.66
39,1100.94,1861.87,1975.93,1483.38
40,2064.36,1689.95,1059.45,859.81
41,1399.88,1782.62,1417.94,1617.88
42,1022.92,1279.95,2209.69,1498.58
43,2078.1,1639.78,2059.95,2429.16
44,2212.8,1369.63,1564.95,1770.94
45,1838.78,806.18,2074.04,1982.99
46,2528.91,1311.95,2113.69,1456.7
47,2163.03,2376.71,1577.43,1508.51
48,2806.5,2034.64,2059.35,1943.21
49,2711.91,1486.2,1730.76,3105.68
50,1474.35,1023,1779.15,2419.93
51,2055,1703,2278,1138
52,3181.36,2254.46,2648.55,1328.37
53,1757.25,1815.87,639.59,1335.77
54,2270.83,1201.64,1869.7,1800.81
55,1812.44,1894.64,2548.78,2222.68
56,2261.96,1589.95,1143.87,951.12
57,3909.86,1406.93,2340.96,885.44
58,2761.61,1129.33,1744.45,3901.93
60,2419,3072,1060,1723
61,2478.48,1898.99,2220.79,1982.72
63,1673.95,1472.99,1696.58,1772.93
64,2093.77,2051.82,2109.54,1088.79
66,1900.88,1535.92,1278.99,1992.92
67,2598.94,3919.39,1944.8,1452.79
69,2313.92,1801.32,1266.59,1278.98
70,2212.86,2124.62,2163.89,947.7
71,2288.48,2158.36,2076.91,1346.93
72,1959.14,2634.76,2398.94,1856.49
73,872.61,1825.06,1928.92,1460.61
74,1844.98,1168.6,1443.33,1136.87
75,1537,2117,2054,2570
76,1906.35,1707.88,1896.82,1635.76
77,1558.72,2248.95,1982.31,975.91
79,3296.96,3920.47,2735.69,2659.65
80,2186,1610,892,1192
81,2025,1906,2426,1890
84,3908.63,2020.97,3903.44,2006.31
85,2388.38,1845.78,2234.87,1693.37
89,3022.54,2559.25,3275.11,3905.3
90,1344.71,2382.82,1203.03,1544.85
91,2724,3379,3584,2639
93,2154.94,1743.87,1903.84,1856.25
95,2756.73,2773.93,3912.84,3268.79
96,3245.72,2832.63,3296.57,3283.79
99,3097.75,2054.58,2119.55,3408.86
100,3032.2,3064.87,3393.66,3456.91
